image_filename,日文名字 Japanese Name,中文名字 Chinese Name,类型 Type,相关作品 Relevant Work,相关人物 Relevant Character,相关柄图 Relevant Image,Releaser/Event 发行商,发行日期 Release Year/Date,发行价格 Release Price (JPY),发行地区 Release Area,信息来源 Resource,详细信息 Detailed Information
011.jpg,和山やま カラオケ行こ！パーカー,《我们去唱卡拉OK吧！》聪实 狂儿 训狗大师 拉链帽衫,衣服,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 训狗大师,RE:SHAZAM,3/9/21,,日本,https://x.com/reshazam_info/status/1367738300107132929,
012.jpg,描き下ろし商品〈和山やま〉「ファミレス行こ。」Tシャツ,《我们去家庭餐厅吧。》T恤,衣服,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 郁金香松饼咖啡,RE:SHAZAM,,5940,日本,https://store.re-shazam.com/items/49526635,"M：胸长66cm/衣长49cm/肩长 44cm/袖长19cm
L：胸长70cm/衣长52cm/肩长 47cm/袖长20cm
XL：胸长74cm/衣长55cm/肩长 50cm/袖长22cm"
013.jpg,描き下ろし商品〈和山やま〉「ファミレス行こ。」ねこねこぱにっくトートバッグ,《我们去家庭餐厅吧。》 猫猫恐慌：真棒~ 手提袋,包包,去家庭餐厅吧/去恰饭吧 （漫画）,成田狂儿,猫猫恐慌：真棒~,RE:SHAZAM,8/7/21,3850,日本,https://store.re-shazam.com/items/49526909,"尺寸：宽33cm * 高40cm * 深15cm
材质：棉"
014.jpg,〈和山やま〉A4クリアファイル3種セット（内1種 描き下ろしイラスト）,《我们去唱卡拉OK吧！》&《为你着迷》 一套三个A4文件夹,文件夹,"去唱卡拉OK吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 二阶堂明, 目高优一, 林美良, 江间让二","聪实 狂儿 雨中撑伞 , 聪实 狂儿 训狗大师, 林美良 嘘",RE:SHAZAM,8/7/21,1650（一套）,日本,https://store.re-shazam.com/items/37271538,
015.jpg,〈和山やま〉「カラオケ行こ！&ファミレス行こ。」A4クリアファイル3種セット（内1種 描き下ろしイラスト）,《我们去唱卡拉OK吧！》&《我们去家庭餐厅吧。》 一套三个A4文件夹,文件夹,"去唱卡拉OK吧 （漫画）, 去家庭餐厅吧/去恰饭吧 （漫画）","成田狂儿, 冈聪实","聪实 狂儿 郁金香松饼咖啡 , 聪实 蒙娜丽莎 , 猫猫恐慌：真棒~",RE:SHAZAM,8/7/21,1650（一套）,日本,https://store.re-shazam.com/items/49528034,
016.jpg,描き下ろし商品〈和山やま〉「カラオケ行こ! 」和山先生の犬柄タオルハンカチ,和山山老师的狗-拿话筒版 《我们去唱卡拉OK吧！》 T恤,衣服,"去唱卡拉OK吧 （漫画）, 和山山原创",,"和山山的狗 麦克风, 和山山的狗",RE:SHAZAM,8/7/21,5830,日本,https://store.re-shazam.com/items/49526755,"M：胸长65cm/衣长47.5cm/肩长 43cm/袖长18.5cm
L：胸长68cm/衣长50cm/肩长 45.5cm/袖长19.5cm
XL：胸长71cm/衣长52.5cm/肩长 48cm/袖长20.5cm"
017.jpg,描き下ろし商品〈和山やま〉「カラオケ行こ! 」和山先生の犬 Tシャツ,和山山老师的狗-拿话筒版 《我们去唱卡拉OK吧！》毛巾手帕,毛巾/擦手巾,"去唱卡拉OK吧 （漫画）, 和山山原创",,"和山山的狗 麦克风, 和山山的狗",RE:SHAZAM,8/7/21,2200,日本,https://store.re-shazam.com/items/49527181,"尺寸：宽37cm * 高34cm 
材质：棉"
018.jpg,"和山先生の犬ぬいぐるみ 数量限定
",和山山老师的狗-毛绒玩具 （数量限定版）,娃娃/毛绒玩具,和山山原创,,和山山的狗,RE:SHAZAM,8/7/21,4950,日本,,
019.jpg,「カラオケ行こ！」グラフィックビッグポーチが,《我们去唱卡拉OK吧！》大号收纳袋,收纳袋,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 空港再会,RE:SHAZAM,12/18/20,,日本,https://x.com/reshazam_info/status/1334422919829540865,Comic Beam 25周年 Pop Up Store
020.jpg,「夢中さ、きみに。」グラフィックビッグポーチが,《为你着迷》  大号收纳袋,收纳袋,为你着迷（漫画）,"二阶堂明, 目高优一, 林美良, 江间让二","林美良 嘘, 林美良 熊猫头",RE:SHAZAM,12/18/20,,日本,https://x.com/reshazam_info/status/1334422919829540865,Comic Beam 25周年 Pop Up Store
021.jpg,和山やま『女の園の星』直筆サイン入りアクリルプレート,《女校之星》 复制和山山签名亚克力板,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师",女校之星 地铁,,4/28/24,10000,日本,https://shu-cream.com/goods/%E5%92%8C%E5%B1%B1%E3%82%84%E3%81%BE%E3%80%8E%E5%A5%B3%E3%81%AE%E5%9C%92%E3%81%AE%E6%98%9F%E3%80%8F%E7%9B%B4%E7%AD%86%E3%82%B5%E3%82%A4%E3%83%B3%E5%85%A5%E3%82%8A%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB,"尺寸：A4 横向 (297mm x 210mm)
页数：1
印刷：单面全彩
手工/复制手工签名"
022.jpg,和山やま『女の園の星』クリアファイル＋ステッカーセット（複製原画特典付き）,《女校之星》 透明文件夹+贴纸套装（附赠原画复制品）- 小林老师星老师复制原画,复制原画（单张）,女校之星（漫画）,"小林老师, 星老师",小林星 放大镜,BOOTH,4/23/21,2750 （套组出售）,日本,https://booth.pm/en/items/2709956,
023.jpg,女の園の星／はんこ2個セット,《女校之星》 - 小林老师星老师 + 继续努力 印章套组,印章,女校之星（漫画）,"小林老师, 星老师",小林星 鬼脸,BOOTH,4/28/21,3850 （套组出售）,日本,https://booth.pm/en/items/2921344,印章图案尺寸：3cm*3cm
024.jpg,女の園の星マグカップ,《女校之星》 - 小林老师的杯子,马克杯,女校之星（漫画）,星老师,星老师 马克杯,RE:SHAZAM,10/18/21,2860,日本,https://nijimen.kusuguru.co.jp/topics/200304,"直径80mm*高95mm
材质：陶
重量：350g
容量：350ml"
025.jpg,"「女の園の星] メガネケース
- マイクロファイバークロス付き -
小林先生のポロシャツモチーフ柄",《女校之星》 - 眼镜盒眼镜布套组-小林老师polo衫图案,眼镜布/眼镜盒,女校之星（漫画）,小林老师,,RE:SHAZAM,10/18/21,3740,日本,https://nijimen.kusuguru.co.jp/topics/200304,"眼镜盒尺寸：160mm*60mm*40mm 
眼镜布尺寸：150mm*180mm"
026.jpg,和山やま『女の園の星』クリアファイル＋ステッカーセット（複製原画特典付き）,《女校之星》 透明文件夹+贴纸套装（附赠原画复制品）- 星老师“锹甲虫男孩”毕业照 （3普通+1闪光）,证件照,女校之星（漫画）,星老师,星老师 锹甲虫幸运男孩,BOOTH,4/23/21,2750 （套组出售）,日本,https://booth.pm/en/items/2709956,"- 毕业照单张尺寸：3cm*4cm
- 880 （毕业照单独再贩价格）10/8/2025"
027.jpg,和山やま『女の園の星』クリアファイル＋ステッカーセット（複製原画特典付き）,《女校之星》透明文件夹+贴纸套装（附赠原画复制品）- 一套四个A4文件夹,文件夹,女校之星（漫画）,"星老师, 小林老师",星老师 锹甲虫幸运男孩,BOOTH,4/23/21,2750 （套组出售）,日本,https://booth.pm/en/items/2709956,
028.jpg,女の園の星／チェキ風カードセット＜A／B＞,《女校之星》 - 语文教师 + 数学教师 拍立得套组 （一组6张，共2组，12张）,拍立得,女校之星（漫画）,"小林老师, 星老师, 中村老师","小林老师 举排球, 星老师 捧饭团",BOOTH,11/3/24,1320 （单组）,日本,https://booth.pm/en/items/6159545,"●套组A：国語教師和中村先生
星先生1／星先生2／星先生＆小林先生＆緑川先生／増田先生／金子先生／中村先生
●套组B：数学教師
小林先生1／小林先生2／小林先生3／小林先生4／緑川先生／長谷川先生
----------------------------------
单张尺寸：宽54mm*高86mm
----------------------------------"
029.jpg,コミックビーム28th展 ミニ色紙 和山やま,空港再会 原画复制色纸,色纸,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 空港再会,コミックビーム28th展,6/28/24,550,日本,https://store.kadokawa.co.jp/shop/g/g302403008770/?publication_id=pt00469,"材质：纸质
尺寸：约136 x 120毫米
产地：日本"
030.jpg,コミックビーム28th展 A4クリアファイル 和山やま,聪实 萨莉亚接饮料 A4文件夹,文件夹,去家庭餐厅吧/去恰饭吧 （漫画）,冈聪实,聪实 萨莉亚 接饮料,コミックビーム28th展,6/28/24,660,日本,https://store.kadokawa.co.jp/shop/g/g302403008784/?publication_id=pt00469,"材质：PP
尺寸：约 310 x 220 毫米
产地：日本"
031.jpg,コミックビーム28th展 A4クリアファイル キービジュアル,Comic Beam 第28届展览 A4透明文件夹,文件夹,去家庭餐厅吧/去恰饭吧 （漫画）,冈聪实,,コミックビーム28th展,6/28/24,660,日本,https://store.kadokawa.co.jp/shop/g/g302403008798/?publication_id=pt00469,"材质：纸质
尺寸：约 80 x 55 毫米（因类型而异）
原产国：日本"
032.jpg,コミックビーム28th展 ダイカットステッカー（2枚セット） 和山やま,《我们去家庭餐厅吧。》异形贴纸（2张一套）,贴纸,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实","聪实 狂儿 萨莉亚 很不高兴见到你, 聪实 狂儿 散散步吧",コミックビーム28th展,6/28/24,605,日本,https://store.kadokawa.co.jp/shop/g/g302403008799/?publication_id=pt00469,"素材：紙
サイズ：約80×55mm内（※種類によって異なります。）
生産国：日本"
033.jpg,コミックビーム28th展 アクリルキーホルダー 和山やま,《我们去唱卡拉OK吧！》地狱可真热啊 亚克力挂件,亚克力挂件/钥匙环,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 “地狱可真热啊”,コミックビーム28th展,6/28/24,770,日本,https://store.kadokawa.co.jp/shop/g/g302403008813/?publication_id=pt00469,"材质：亚克力、铁
尺寸：约 80 x 50 毫米（因款式而异）
产地：日本"
